r,g,b,rgb,spanish,en_es,russian,en_ru,german,en_de,french,en_fr,chinese,en_zh,italian,en_it,korean,en_ko,japanese,en_ja,name,short_name,med_name,cx,cy
65,6,194,656194,azul oscuro,dark blue,  _ ___ __,blue,blau,blue,id7,blue,     _,blue,blu,blue, __   ,blue,   ,purple,purple aqua dark,blue,electric blue,283.95,141.21
66,20,72,662072,purpura,purple,  _ ______   _ ___ _   ____  __,dark purple,lila,purple,violet,purple,     _,purple,lila,purple, _   _   ,purple,   ,purple,very dark purple,dark purple,dark purple,316.55,248.03
66,219,4,662194,verde limon,lime green,  _ _ _   ____  __,green,knalliges gr _n,flashy green,vert,green,     _,green,verde,green,         ,green,   ,green,fluorescent green,lime,glossy green,277.49,466.38
66,23,19,662319,color marr _n oscuro,dark brown,_ __  _   ___ __  __,brown,schokoladenbraun,chocolate-brown,marron,brown, _   _,brown,marrone,brown,      ,brown,        _,deep brown,chocolate brown,brown,deep brown,352.7,281.15
66,5,155,665155,violeta,violet,  _ ___ _   ____  __,violet,lila,purple,indigo du web,indigo web,   ,blue,viola,violet, __   ,blue,      ,bluish purple,deep ocean blue,dark blue,dark purple,301.25,167.11
67,31,75,673175,morado,purple,  _ ______-  _ ___ _   ____  __,plum,dunkelviolett,dark purple,violet fonc  ,dark purple, _      _,dark purple,viola scuro,dark purple,        _   _   ,muddy purple, _          ,dark blue-violet,darkest aubergine,dark purple,dark purple,323.89,244.37
6,79,186,679186,azul oscuro,dark blue,_ _ _ ___  ___ _ __ _____   _ ___ ,what a blue sky,blau,blue,id7,blue,     _,blue,blu,blue,    _    ,blue,      ,blue,blueberry blue,blue,light blue,196.76,194.55
69,211,4,692114,verde,green,    _ __-_ _ _ _ __  __,bright green,gr _n,green,vert,green,     _,green,verde,green,         ,green,     _           _  _,lime green,flouresentgreen,lime,bright avocado,285.12,451.99
69,216,3,692163,verde manzana,apple green,    _ __-_ _ _ _ __  __,bright green,hellgr _n,light green,vert,green,     _,green,verde pastello scuro,medium spring green,     _   ,pale green,   ,green,light neon green,lime,bright avocado,274.38,460.62
69,81,43,698143,verde olivo,olive green,_ ___ __  __  __,swamp,nachtgr _n,night green,vert fonc  ,dark green:,     _,green,verde scuro,dark green,  _   ,green,  _  _         ,pine needle color,greenish brown,green,forest green,319.75,309.29
69,8,243,698243,azul,blue,    ______-  _ ___ __,dark blue,blau,blue,id7,blue,     _,blue,blu,blue,    _    ,blue,   ,blue,beautiful blue,blue,royal purple,253.68,87.36
70,96,40,709640,verde musgo,moss green,_ _ _ _ __  __,green,moosgr _n,moss green,vert fonc  ,dark green:,         ,olive green,h,green, _   _,khaki,   ,green,military green,green,green,313.6,315.46
71,144,0,711440,verde,green,_ _ _ _ __  __,green,gr _n,green,vert,green,     _,green,verde,green,  _   ,green,   ,green,tree leaves green,green,cryo green,314.36,375.45
71,54,99,715499,violeta oscuro,violet,  _ ______-  _   __-  _   _ ___ __  __,dark gray-purple,nachtblau,midnight blue,id7,blue,     _,purple,viola scuro,dark purple, _   _   ,purple, _       ,dark purple,dark purple dream,purple,purple,318.89,226.67
7,159,65,715965,verde pasto,green grass,_ _ _   __  __,green,gr _n,green,vert,green,      ,green,verde foresta,green forest,         ,green,   ,green,christmas green,green,grass green,240.81,360.31
72,0,161,720161,morado,purple,  _ ___ __,blue,dunkellila,dark purple,violet,violet,        _,deep purple,indigo,indigo,    _ ,blue,     _        _      ,dark purple,purple amazement,blue,bright purple,307.26,166.3
7,208,12,720812,verde limon,lime green,_   _ __-_ _ _   __  __ ___ __  _   _ __  __,bright green compulsive,grasgr _n,grass green,vert,green,     _,green,verde,light green,         ,green,   ,green,standout green,green,bright green,222.28,421.71
7,239,44,723944,verde brillante,bright green,  ___   _ __-_ _ _ _ __  __,light green,gr _n,green,vert,green,     _,green,verde,green,         ,green,  _              _,bright green,hightlight green,kiwi,yellow green,190.32,462.55
7,247,61,724761,verde brillnate,green brillnate,  _ _ _   ____  __,green,gelbgr _n,yellow-green,vert,green,        _,bright green,verde shocking,green,         ,green,      ,yellow-green,bright mint green,lime,bright green,159.14,463.56
7,251,26,725126,verde manzana,apple green,  _ _ _   ____  __,green,neon gr _n,neon green,vert pomme fluo,apple green fluorescent,     _,green,verde starlight,green starlight,      ,fluorescence,   ,green,brightest green,lime,bright green,180.9,491.26
73,2,235,732235,azul,blue,_ _ ___ __,blue,blau,blue,id7,blue,     _,blue,blu,aqua blue,    _ ,blue,   ,blue,blind your eyes blue,blue,almost purple,264.68,99.72
73,25,74,732574,morado,purple,_ _ _ _ _ _ _ ______  __,aubergine,dunkel lila,dark purple,pourpre,purple,     _,purple,viola,violet, _   _   ,purple,   ,purple,pomegranate purple,purple,dark eggplant,328.58,249.6
73,56,25,735625,cafe,coffee,_ __  _   ___ __  __,brown,dunkeloliv,dark olive,marron,brown,     _,brown,marrone scuro,dark brown,            ,muddy brown,     _,brown,super dark brown,brown,brown,347.14,298.88
7,38,208,738208,azul,blue,  _ ___ __,blue,azurblau,azure,id7 roi,royal blue,   ,blue,blu,blue,    _    ,blue,   ,blue,neon dark blue,blue,blue mountain,197.23,151.86
7,39,236,739236,azul,blue,    _ __-  _ ___ __,bright blue,blau,blue,id7,blue,     _,blue,blu,blue,    _ ,blue,   ,blue,true school blue,blue,nautical blue,204.2,120.47
74,105,4,741054,verde soldado,green soldier,_ _ _ _ __  __,green,grasgr _n,grass green,vert  vessie,green bladder,     _,green,olive,green,         ,green,   ,green,dark grass green,moss,dirty green,310.47,320.91
74,197,5,741975,verde,green,_ _ _ _ __  __,green,hellgr _n,lime,vert,green,        _,army green,verde,green,  _   ,green,      ,yellow-green,bright light green,green,grass green,295.16,430.52
74,41,97,744197,violeta oscuro,dark purple,___ ___ _   ____  __,violet,violett dunkel,dark purple,pourpre,purple,        _,blue-violet,viola,violet, _   _   ,purple,   ,purple,grape juice purple,purple,dark purple,327.93,234.33
75,10,33,751033,maron oscuro,maron dark,_ __  _ __,wine,dunkles weinrot,dark burgundy,aubergine,eggplant,      ,cyanosis,marrone,brown,            ,reddish-brown,        _   ,dark red purple,burgundy veins,dark magenta,dark magenta,353.89,266.69
75,153,5,751535,verde,green,_   _   __-_ _ _   __  __,yellow-green,gr _n,green,vert,green,   ,green,kjk,green,  _   ,green,        _,green,bright pea green,green,grass green,307.32,389.3
75,25,61,752561,purpura,purple,_     _     __  __,purple,dunkelviolett,dark purple,pourpre,purple, _      _     _,dark purple red,viola,purple, _   _   ,purple,     _  _   ,purple wine,midnight eggplant,purple,burgundy,347.88,266.58
75,28,65,752865,purpura,purple,  _ ______-  _ ___ _   ____  __,plum,lila,purple,violet fonc  ,dark purple,     _,purple,lila,maroon,       _   _   ,deep purple,         ,dark purple,midnight ocean,dark purple,dark purple,345.43,256.35
75,55,29,755529,cafe,coffee,_ __  _   ___ __  __,brown,braun,brown,marron,brown,     _,brown,marrone,brown,      ,brown,           _,dark brown,bottom of the ocean brown,brown,basic brown,363.11,297.27
76,1,220,761220,azul violeta,violet blue,  _ ___ __,blue,blau,blue,id7 electrique,electric blue,     _,blue,azzurro,blue, __   ,blue,   ,blue,neon dark purple,blue,purple,279.44,113.58
76,18,91,761891,morado,purple,  _ ___ _   ____  __,violet,violett,violet,violet,violet,     _,purple,imporpora,purple,       _   _   ,deep purple,   ,purple,blackened purple,purple,dark purple,315.8,232.86
76,40,34,764034,cafe,coffee,_ __  _   ___ __  __,brown,dunkelbraun,dark brown,marron,brown,     _,brown,marrone,brown,         ,dark brown, _         _,dark gray,chestnut brown,brown,dark brown,367.31,279.78
77,19,21,771921,marron,brown,_ __  _   ___ __  __,brown,dunkelbraun,dark brown,prune,plum,        _,brown,marrone,brown, _       ,black,  _   ,purplish red,chocolate brown,red-brown,red-brown,361.48,278.02
77,29,59,772959,marron oscuro,dark brown,  _ ______-  _   _ ___ __  __,dark purple,brombeerrot,blackberry red,violet fonc  ,dark purple,        _,deep purple,marrone scuro,purple, _   _   ,purple,   ,purple,midnight purple,brown,brown machine,360.18,265.74
78,68,36,786836,caf  ,brown,_ __  _   ___ __  __,brown,braun,brown,marron,brown,    _   _,dark brown,marrone scuro,brown,       _        ,dark brown,     _,brown,dark green with a dark brown mixture,olive drab,olive drab,351.15,303.87
78,73,18,787318,pardo,brown,_ _ _ _ __  __,green,dunkelbraun,dark brown,marron,brown,      ,green leaves,vrde militare,vrde military,         _   ,dark green,         ,sepia,dark olive green,brown,brown,342.61,302.96
79,29,34,792934,marron,brown,_ __  _   ___ __  __,brown,weinrot,burgundy,id8 tr  s fonc  ,very dark red,     _,brown,marrone,brown,      ,brown,     _,brown,chocolate brown,rawhide brown,rawhide brown,363.1,259.45
79,33,10,793310,marr  n,brown,_ __  _   ___ __  __,brown,braun,brown,marron,brown,    _   _,dark brown,marrone,maroon, _       ,auburn,     _,brown,rocky road brown,brown,warm brown,363.56,286.23
7,94,211,794211,azul,blue,  _ ___ __,blue,blau,blue,id7,blue,     _,blue,blu,blue,    _ ,blue,        _        _,bright blue,clear blue sky,blue,skipper blue,169.36,192.35
79,57,12,795712,marron,brown,_ __  _   ___ __  __,brown,braun,brown,marron,brown, _   _,brown,marrone,brown,      ,brown,     _,brown,chocolate brown,brown,dark brown,354.4,297.11
79,85,44,798544,verde oscuro,dark green,_ ___ __  __  __,swamp,dunkles olivgr _n,dark olive green,grey green,gray green,        _,dark green,verde,green,  _   ,green,     _           _           _  _,dark olive green,dark hunter green,dark olive,dark olive,324.45,302.76
80,207,2,802072,verde pasto,green grass,_ _ _ _ __  __,green,grass gr _n,grass green,vert pr  ,green meadow,   ,green,verde,green,  _   ,green,      ,yellow-green,granny apple green,lime,bright green,294.42,450.52
8,135,71,813571,verde,green,  _ ______-_ _ _ _ __  __,dark green,gr _n,green,vert,green,   ,green,verde,green,  _   ,green, _         _,dark green,rainforest green,green,forest green,243.85,329.01
8,164,77,816477,verde jacaranda,jacaranda green,_ _ _ _ __  __,green,gr _n,green,vert,green,     _,green,verde scuro,dark green,  _   ,green,   ,green,illuminating emerald,green,green grass,210.01,361.55
81,79,36,817936,verde militar,military green,_ __  _   ___ __  __,brown,oliv,olive,dark olive green,dark olive green,        _,dark green,verde,green,         _   ,dark green,     _           _           _  _,dark olive green,dark olive green,green,olive green,337.58,306.24
8,185,31,818531,verde,green,_ _ _ _ __  ,#name?,gr _n,green,vert pomme,apple green,     _,green,verde,green,  _   ,green,        _,green,electric forest,green,turtle green,231.84,382.74
8,205,31,820531,verde,green,    _ __-_ _ _ _ __  __,bright green,gr _n,green,vert,green,  _   ,lime,verde,green,  _   ,green,         ,young green,wheatgrass green,green,blinding green,224.64,416.24
8,210,31,821031,color verde,green,_ _ _ _ __  __,green,gift-gr _n,poison-green,vert,green,     _,green,verde chiaro,green,         ,green,   ,green,flourescent green,green,bright green,217.95,426.66
8,216,90,821690,verde esmeralda,emerald green,_ _ _ _ __  __,green,gr _n,green,vert,green,   ,green,verde,green,  _   ,green,   ,green,greenish turquoise,lime,electric green,173.24,404.78
8,226,98,822698,verde,green,_ _ _   __  __,green,gr _n,green,vert,green,  _   ,lime,verde,green,  _   ,green,     _         ,pastel green,hot pants green,mint,bright green,158.32,411.12
8,244,91,824491,verde fresco brillante,bright fresh green,_ _ _ _ __  __,green,gr _n,green,vert,"<condition percentage = ""0000""> green </condition>",        _,army green,verde,green,    _      _            ,bright and brilliant green,     _           _  _,mint green,medium spring green,lime,electro green,146.88,447.84
8,252,75,825275,verde manzana,green apple,  _ _ _   ____  __,green,neongr _n,neon green,vert intense,intense green, _      _,pale green,verde,green,         _   ,bright green,  _         ,bright green,granny smith apple green,lime,crayon green,146.91,471.96
83,0,161,830161,morado,purple,  _ ___ _   ____  __,violet,lila,purple,violet,purple, _      _,color purple,blu,blue, _   _   ,purple,      ,blue-violet,dark ghostly purple,purple,bright purple,318.8,171.78
83,146,6,831466,verde,green,_ _ _ _ __  __-_ _ _ _ __  __,pale-green,gr _n,green,vert,green,        _,grass green,verde scuro,dark green,  _   ,green,   ,green,bright forest green,green,forest green,318.85,385.28
83,245,7,832457,verde brillante,bright green,  _ _ _   ____  __,green,gr _n,green,vert,green,   ,green,verde,green,         ,green,   ,green,hawaiian surfer green,lime,electric green,272.37,516.66
83,49,24,834924,cafe,coffee,  _ ______-_ __  _   ___ __  __,umber,braun,brown,marron,brown,     _,brown,marrone,brown,      ,brown,     _,brown,tree bark brown,brown,brown,359.67,292.03
84,110,0,841100,verde oscuro,dark green,_ _ _   __  __,green,mittelgr _n,medium green,vert fonce,dark green:,     _,green,verde,green,         _   ,muddy green,   ,green,blackened green,dull green,pea soup green,328.23,332.08
84,44,82,844482,morado,purple,  _ ___ _   ____  __,violet,pastell indigo,pastel indigo,violet,purple,        _,purple,viola,violet, _   _   ,purple,     _        _  _      ,dark orchid,deep purple-violet,purple,purple,277.09,236.91
84,89,24,848924,verde oscuro,dark green,_ _ _   __  __,green,dunkles olivgr _n,dark olive green,vert militaire,military green,     _,green,green,green,         ,brownish,     _           _           _  _,dark olive green,dark olive cammo,dark green,ripe avocado,325.56,310.45
85,15,71,851571,ciruela,plum,___ ___ _   ____  __,violet,dunkelviolett,dark purple,mauve,mauve,     _,purple,imporpori,purple, _   _   ,purple,     _      ,purple,dark dark burgondy,purple,dark purple,351.02,259.66
85,175,7,851757,verde,green,_ _ _   __  __ ____  __  _ _ ,green peas,gr _n,green,vert,green,     _,green,verde oliva,green,  _   ,green,      ,green,watercress green,turf,medium green,302.86,410.65
85,17,94,851794,morado,purple,  _ ___ _   ____  __,violet,violett,violet,violet fonce,dark purple,     _,purple,viola,purple, __   ,blue,      ,deep purple,purple passion,plum,purple,334.05,247.17
8,54,169,854169,azul rey intenso,intense royal blue,  _ ___ __,blue,dunkelblau,dark blue,id7,blue,     _,blue,blu,blue,    _ ,blue,   ,blue,singin' the blues,blue,sapphire blue,222.82,193.86
86,4,110,864110,purpura,purple,  _ ___ _   ____  __,violet,violett,violet,violet,purple,     _,purple,viola,violet, _   _   ,purple,   ,purple,purple extreme,purple,dark purple,327.15,225.87
86,47,14,864714,marr _n oscuro,dark brown,  _ _______ __  _   ___ __  __,dark brown,braun,brown,marron,brown,           _,dark brown,marone,brown,      ,brown,   ,brown,chestnut bark brown,brown,wood brown,371.24,297.06
86,77,24,867724,verde olivo,olive green,___ _ ___ _ ,olive,khaki,khaki,marron,brown,      ,sumac,marrone creta bagnato,brown clay wet,      ,brown,     _,brown,brownish green,olive,olive,357.95,302.38
87,192,4,871924,verde,green,_ _ _ _ __  __,green,gr _n,green,vert pomme fonc  ,dark green apple,   ,green,verde,green,     _   ,dark green,   ,green,neon grass green,green,bright green,304.35,416.31
8,74,137,874137,azul,blue,  _ ___ __,blue,blau,blue,id7,blue, _      _,color blue,blu,blue,    _ ,blue,     _,blue,cornflower blue,blue,blueberry pie,230.59,232.03
87,54,43,875443,marron lcd,brown lcd,_ __  _   ___ __  __,brown,braunrot,brown-red,marron normal,normal brown,        _,brown,rosa,brown,      ,brown,     _,brown,chocolate brown,brown,brown,379.5,287.02
87,98,48,879848,verde olivo,olive green,_ _ _   __  __,green,gr _n,green,vert fonc  ,dark green,        _,dark green,oliva,olive,         _   ,dark green,      ,dark green,dark olive green,green,green`,320.17,316.08
8,80,179,880179,azul,blue,    _ __-  _ ___ __,bright blue,blau,blue,id7 pure,pure blue,     _,blue,blu,blue,    _    ,blue,        _,blue,jewel tone blue,blue,federal blue,199.72,203.44
88,11,28,881128,marron rojo,brown red,_   ______-_ __  _   ___ __  __   _ ___ ______  __,dark brown calm,wein rot,red wine,brun,brown,      ,reddish brown,prugna,plum,       _       ,dark red,     _,brown,dark cherry red,brown,wine red,359.06,271.78
89,63,46,896346,cafe,coffee,____  _   ___ __  __,brown,braun,brown,marron,brown,    _   _,dark brown,marrone,brown,      ,brown,     _,brown,mudpuddle brown,brown,brown,366.98,292.5
